date,season,game_num,home_team,away_team,home_score,away_score,home_win
2023-03-30,2023,1,CIN,PIT,4.0,5.0,0
2023-03-30,2023,1,TB,DET,4.0,0.0,1
2023-03-30,2023,1,WSH,ATL,2.0,7.0,0
2023-03-30,2023,1,STL,TOR,9.0,10.0,0
2023-03-30,2023,1,SEA,CLE,3.0,0.0,1
2023-03-30,2023,1,SD,COL,2.0,7.0,0
2023-03-30,2023,1,ATH,LAA,2.0,1.0,1
2023-03-30,2023,1,TEX,PHI,11.0,7.0,1
2023-03-30,2023,1,BOS,BAL,9.0,10.0,0
2023-03-30,2023,1,MIA,NYM,3.0,5.0,0
2023-03-30,2023,1,NYY,SF,5.0,0.0,1
2023-03-30,2023,1,HOU,CWS,2.0,3.0,0
2023-03-30,2023,1,LAD,ARI,8.0,2.0,1
2023-03-30,2023,1,CHC,MIL,4.0,0.0,1
2023-03-30,2023,1,KC,MIN,0.0,2.0,0
2023-03-31,2023,1,LAD,ARI,1.0,2.0,0
2023-03-31,2023,1,HOU,CWS,6.0,3.0,1
2023-03-31,2023,1,SEA,CLE,4.0,9.0,0
2023-03-31,2023,1,SD,COL,1.0,4.0,0
2023-03-31,2023,1,MIA,NYM,2.0,1.0,1
2023-04-01,2023,1,ATH,LAA,1.0,13.0,0
2023-04-01,2023,1,KC,MIN,0.0,2.0,0
2023-04-01,2023,1,LAD,ARI,10.0,1.0,1
2023-04-01,2023,1,SD,COL,8.0,4.0,1
2023-04-01,2023,1,CIN,PIT,6.0,2.0,1
2023-04-01,2023,1,BOS,BAL,9.0,8.0,1
2023-04-01,2023,1,SEA,CLE,0.0,2.0,0
2023-04-01,2023,1,HOU,CWS,6.0,4.0,1
2023-04-01,2023,1,STL,TOR,4.0,1.0,1
2023-04-01,2023,1,MIA,NYM,2.0,6.0,0
2023-04-01,2023,1,TB,DET,12.0,2.0,1
2023-04-01,2023,1,CHC,MIL,1.0,3.0,0
2023-04-01,2023,1,TEX,PHI,16.0,3.0,1
2023-04-01,2023,1,NYY,SF,5.0,7.0,0
2023-04-01,2023,1,WSH,ATL,1.0,7.0,0
2023-04-02,2023,1,WSH,ATL,4.0,1.0,1
2023-04-02,2023,1,KC,MIN,4.0,7.0,0
2023-04-02,2023,1,BOS,BAL,9.0,5.0,1
2023-04-02,2023,1,HOU,CWS,3.0,6.0,0
2023-04-02,2023,1,SEA,CLE,5.0,6.0,0
2023-04-02,2023,1,TB,DET,5.0,1.0,1
2023-04-02,2023,1,NYY,SF,6.0,0.0,1
2023-04-02,2023,1,SD,COL,3.0,1.0,1
2023-04-02,2023,1,TEX,PHI,2.0,1.0,1
2023-04-02,2023,1,ATH,LAA,0.0,6.0,0
2023-04-02,2023,1,LAD,ARI,1.0,2.0,0
2023-04-02,2023,1,MIA,NYM,1.0,5.0,0
2023-04-02,2023,1,CHC,MIL,5.0,9.0,0
2023-04-02,2023,1,STL,TOR,9.0,4.0,1
2023-04-02,2023,1,CIN,PIT,3.0,1.0,1
2023-04-03,2023,1,CWS,SF,3.0,12.0,0
2023-04-03,2023,1,HOU,DET,6.0,7.0,0
2023-04-03,2023,1,SEA,LAA,3.0,7.0,0
2023-04-03,2023,1,STL,ATL,4.0,8.0,0
2023-04-03,2023,1,WSH,TB,2.0,6.0,0
2023-04-03,2023,1,ATH,CLE,11.0,12.0,0
2023-04-03,2023,1,MIL,NYM,10.0,0.0,1
2023-04-03,2023,1,MIA,MIN,1.0,11.0,0
2023-04-03,2023,1,KC,TOR,9.0,5.0,1
2023-04-03,2023,1,NYY,PHI,8.0,1.0,1
2023-04-03,2023,1,BOS,PIT,6.0,7.0,0
2023-04-03,2023,1,SD,ARI,5.0,4.0,1
2023-04-03,2023,1,CIN,CHC,7.0,6.0,1
2023-04-03,2023,1,LAD,COL,13.0,4.0,1
2023-04-03,2023,1,TEX,BAL,0.0,2.0,0
2023-04-04,2023,1,SD,ARI,6.0,8.0,0
2023-04-04,2023,1,KC,TOR,1.0,4.0,0
2023-04-04,2023,1,HOU,DET,3.0,6.0,0
2023-04-04,2023,1,LAD,COL,5.0,2.0,1
2023-04-04,2023,1,ATH,CLE,4.0,3.0,1
2023-04-04,2023,1,BOS,PIT,1.0,4.0,0
2023-04-04,2023,1,SEA,LAA,11.0,2.0,1
2023-04-04,2023,1,NYY,PHI,1.0,4.0,0
2023-04-04,2023,1,MIL,NYM,9.0,0.0,1
2023-04-04,2023,1,MIA,MIN,1.0,0.0,1
2023-04-04,2023,1,STL,ATL,1.0,4.0,0
2023-04-04,2023,1,WSH,TB,6.0,10.0,0
2023-04-04,2023,1,TEX,BAL,2.0,7.0,0
2023-04-04,2023,1,CIN,CHC,5.0,12.0,0
2023-04-05,2023,1,TEX,BAL,5.0,2.0,1
2023-04-05,2023,1,KC,TOR,0.0,3.0,0
2023-04-05,2023,1,MIA,MIN,5.0,2.0,1
2023-04-05,2023,1,CWS,SF,7.0,3.0,1
2023-04-05,2023,1,HOU,DET,8.0,2.0,1
2023-04-05,2023,1,ATH,CLE,4.0,6.0,0
2023-04-05,2023,1,WSH,TB,2.0,7.0,0
2023-04-05,2023,1,BOS,PIT,1.0,4.0,0
2023-04-05,2023,1,SEA,LAA,3.0,4.0,0
2023-04-05,2023,1,MIL,NYM,7.0,6.0,1
2023-04-05,2023,1,STL,ATL,2.0,5.0,0
2023-04-05,2023,1,NYY,PHI,4.0,2.0,1
2023-04-06,2023,1,COL,WSH,1.0,0.0,1
2023-04-06,2023,1,ARI,LAD,2.0,5.0,0
2023-04-06,2023,1,KC,TOR,3.0,6.0,0
2023-04-06,2023,1,ATL,SD,7.0,6.0,1
2023-04-06,2023,1,DET,BOS,3.0,6.0,0
2023-04-06,2023,1,CWS,SF,6.0,16.0,0
2023-04-07,2023,1,NYM,MIA,9.0,3.0,1
2023-04-07,2023,1,COL,WSH,5.0,10.0,0
2023-04-07,2023,1,PHI,CIN,5.0,2.0,1
2023-04-07,2023,1,BAL,NYY,7.0,6.0,1
2023-04-07,2023,1,SF,KC,1.0,3.0,0
2023-04-07,2023,1,ARI,LAD,6.0,3.0,1
2023-04-07,2023,1,PIT,CWS,13.0,9.0,1
2023-04-07,2023,1,TB,ATH,9.0,5.0,1
2023-04-07,2023,1,ATL,SD,4.0,5.0,0
2023-04-07,2023,1,CLE,SEA,3.0,5.0,0
2023-04-07,2023,1,MIN,HOU,3.0,2.0,1
2023-04-07,2023,1,LAA,TOR,3.0,4.0,0
2023-04-07,2023,1,MIL,STL,4.0,0.0,1
2023-04-07,2023,1,CHC,TEX,2.0,0.0,1
2023-04-08,2023,1,PIT,CWS,5.0,11.0,0
2023-04-08,2023,1,ARI,LAD,12.0,8.0,1
2023-04-08,2023,1,DET,BOS,5.0,14.0,0
2023-04-08,2023,1,ATL,SD,1.0,4.0,0
2023-04-08,2023,1,LAA,TOR,9.0,5.0,1
2023-04-08,2023,1,TB,ATH,11.0,0.0,1
2023-04-08,2023,1,SF,KC,5.0,6.0,0
2023-04-08,2023,1,NYM,MIA,5.0,2.0,1
2023-04-08,2023,1,PHI,CIN,3.0,2.0,1
2023-04-08,2023,1,BAL,NYY,1.0,4.0,0
2023-04-08,2023,1,CLE,SEA,2.0,3.0,0
2023-04-08,2023,1,COL,WSH,6.0,7.0,0
2023-04-08,2023,1,MIN,HOU,9.0,6.0,1
2023-04-08,2023,1,CHC,TEX,10.0,3.0,1
2023-04-08,2023,1,MIL,STL,0.0,6.0,0
2023-04-09,2023,1,MIN,HOU,1.0,5.0,0
2023-04-09,2023,1,LAA,TOR,11.0,12.0,0
2023-04-09,2023,1,CHC,TEX,2.0,8.0,0
2023-04-09,2023,1,BAL,NYY,3.0,5.0,0
2023-04-09,2023,1,COL,WSH,7.0,6.0,1
2023-04-09,2023,1,PIT,CWS,1.0,0.0,1
2023-04-09,2023,1,PHI,CIN,4.0,6.0,0
2023-04-09,2023,1,NYM,MIA,2.0,7.0,0
2023-04-09,2023,1,DET,BOS,1.0,4.0,0
2023-04-09,2023,1,CLE,SEA,7.0,6.0,1
2023-04-09,2023,1,ARI,LAD,11.0,6.0,1
2023-04-09,2023,1,ATL,SD,2.0,10.0,0
2023-04-09,2023,1,SF,KC,3.0,1.0,1
2023-04-09,2023,1,TB,ATH,11.0,0.0,1
2023-04-09,2023,1,MIL,STL,6.0,1.0,1
2023-04-10,2023,1,NYM,SD,5.0,0.0,1
2023-04-10,2023,1,CHC,SEA,3.0,2.0,1
2023-04-10,2023,1,ARI,MIL,3.0,0.0,1
2023-04-10,2023,1,COL,STL,7.0,4.0,1
2023-04-10,2023,1,PHI,MIA,15.0,3.0,1
2023-04-10,2023,1,BAL,ATH,5.0,1.0,1
2023-04-10,2023,1,PIT,HOU,2.0,8.0,0
2023-04-10,2023,1,SF,LAD,1.0,9.0,0
2023-04-10,2023,1,CLE,NYY,3.0,2.0,1
2023-04-10,2023,1,MIN,CWS,3.0,4.0,0
2023-04-10,2023,1,TEX,KC,11.0,2.0,1
2023-04-10,2023,1,TB,BOS,1.0,0.0,1
2023-04-10,2023,1,LAA,WSH,4.0,6.0,0
2023-04-10,2023,1,ATL,CIN,5.0,4.0,1
2023-04-11,2023,1,MIN,CWS,4.0,3.0,1
2023-04-11,2023,1,CHC,SEA,14.0,9.0,1
2023-04-11,2023,1,NYM,SD,2.0,4.0,0
2023-04-11,2023,1,PHI,MIA,4.0,8.0,0
2023-04-11,2023,1,TB,BOS,7.0,2.0,1
2023-04-11,2023,1,BAL,ATH,12.0,8.0,1
2023-04-11,2023,1,TEX,KC,8.0,5.0,1
2023-04-11,2023,1,ARI,MIL,1.0,7.0,0
2023-04-11,2023,1,SF,LAD,5.0,0.0,1
2023-04-11,2023,1,ATL,CIN,7.0,6.0,1
2023-04-11,2023,1,PIT,HOU,7.0,4.0,1
2023-04-11,2023,1,LAA,WSH,2.0,0.0,1
2023-04-11,2023,1,COL,STL,6.0,9.0,0
2023-04-11,2023,1,TOR,DET,9.0,3.0,1
2023-04-11,2023,1,CLE,NYY,2.0,11.0,0
2023-04-12,2023,1,LAA,WSH,3.0,2.0,1
2023-04-12,2023,1,NYM,SD,5.0,2.0,1
2023-04-12,2023,1,MIN,CWS,3.0,1.0,1
2023-04-12,2023,1,COL,STL,4.0,7.0,0
2023-04-12,2023,1,CHC,SEA,2.0,5.0,0
2023-04-12,2023,1,ARI,MIL,7.0,3.0,1
2023-04-12,2023,1,PHI,MIA,2.0,3.0,0
2023-04-12,2023,1,TEX,KC,1.0,10.0,0
2023-04-12,2023,1,SF,LAD,5.0,10.0,0
2023-04-12,2023,1,TB,BOS,9.0,7.0,1
2023-04-12,2023,1,BAL,ATH,4.0,8.0,0
2023-04-12,2023,1,PIT,HOU,0.0,7.0,0
2023-04-12,2023,1,CLE,NYY,3.0,4.0,0
2023-04-12,2023,1,ATL,CIN,5.0,4.0,1
2023-04-12,2023,1,TOR,DET,4.0,3.0,1
2023-04-13,2023,1,SD,MIL,3.0,4.0,0
2023-04-13,2023,1,TB,BOS,9.0,3.0,1
2023-04-13,2023,1,NYY,MIN,2.0,11.0,0
2023-04-13,2023,1,BAL,ATH,8.0,7.0,1
2023-04-13,2023,1,STL,PIT,0.0,5.0,0
2023-04-13,2023,1,CIN,PHI,6.0,2.0,1
2023-04-13,2023,1,TOR,DET,1.0,3.0,0
2023-04-14,2023,1,HOU,TEX,2.0,6.0,0
2023-04-14,2023,1,NYY,MIN,3.0,4.0,0
2023-04-14,2023,1,LAD,CHC,2.0,8.0,0
2023-04-14,2023,1,WSH,CLE,3.0,4.0,0
2023-04-14,2023,1,SD,MIL,2.0,11.0,0
2023-04-14,2023,1,STL,PIT,3.0,0.0,1
2023-04-14,2023,1,CWS,BAL,3.0,6.0,0
2023-04-14,2023,1,DET,SF,7.0,5.0,1
2023-04-14,2023,1,SEA,COL,5.0,3.0,1
2023-04-14,2023,1,KC,ATL,3.0,10.0,0
2023-04-14,2023,1,CIN,PHI,3.0,8.0,0
2023-04-14,2023,1,MIA,ARI,5.0,1.0,1
2023-04-14,2023,1,TOR,TB,6.0,3.0,1
2023-04-14,2023,1,BOS,LAA,5.0,3.0,1
2023-04-14,2023,1,ATH,NYM,6.0,17.0,0
2023-04-15,2023,1,ATH,NYM,2.0,3.0,0
2023-04-15,2023,1,DET,SF,7.0,6.0,1
2023-04-15,2023,1,SD,MIL,10.0,3.0,1
2023-04-15,2023,1,CIN,PHI,13.0,0.0,1
2023-04-15,2023,1,MIA,ARI,3.0,2.0,1
2023-04-15,2023,1,NYY,MIN,6.0,1.0,1
2023-04-15,2023,1,LAD,CHC,2.0,1.0,1
2023-04-15,2023,1,BOS,LAA,9.0,7.0,1
2023-04-15,2023,1,TOR,TB,5.0,2.0,1
2023-04-15,2023,1,SEA,COL,9.0,2.0,1
2023-04-15,2023,1,WSH,CLE,4.0,6.0,0
2023-04-15,2023,1,KC,ATL,3.0,9.0,0
2023-04-15,2023,1,HOU,TEX,8.0,2.0,1
2023-04-15,2023,1,STL,PIT,3.0,6.0,0
2023-04-15,2023,1,CWS,BAL,7.0,6.0,1
2023-04-16,2023,1,SEA,COL,1.0,0.0,1
2023-04-16,2023,1,BOS,LAA,2.0,1.0,1
2023-04-16,2023,1,HOU,TEX,1.0,9.0,0
2023-04-16,2023,1,NYY,MIN,2.0,0.0,1
2023-04-16,2023,1,CIN,PHI,3.0,14.0,0
2023-04-16,2023,1,TOR,TB,1.0,8.0,0
2023-04-16,2023,1,MIA,ARI,0.0,5.0,0
2023-04-16,2023,1,KC,ATL,4.0,5.0,0
2023-04-16,2023,1,SD,MIL,0.0,1.0,0
2023-04-16,2023,1,CWS,BAL,4.0,8.0,0
2023-04-16,2023,1,ATH,NYM,3.0,4.0,0
2023-04-16,2023,1,WSH,CLE,7.0,6.0,1
2023-04-16,2023,1,STL,PIT,5.0,4.0,1
2023-04-16,2023,1,LAD,CHC,2.0,3.0,0
2023-04-17,2023,1,HOU,TOR,9.0,2.0,1
2023-04-17,2023,1,KC,TEX,0.0,4.0,0
2023-04-17,2023,1,MIA,SF,4.0,3.0,1
2023-04-17,2023,1,STL,ARI,3.0,6.0,0
2023-04-17,2023,1,BOS,LAA,4.0,5.0,0
2023-04-17,2023,1,LAD,NYM,6.0,8.0,0
2023-04-17,2023,1,CIN,TB,8.0,1.0,1
2023-04-17,2023,1,SD,ATL,0.0,2.0,0
2023-04-17,2023,1,SEA,MIL,3.0,7.0,0
2023-04-17,2023,1,COL,PIT,3.0,14.0,0
2023-04-17,2023,1,ATH,CHC,1.0,10.0,0
2023-04-18,2023,1,ATH,CHC,0.0,4.0,0
2023-04-18,2023,1,SD,ATL,1.0,8.0,0
2023-04-18,2023,1,COL,PIT,3.0,5.0,0
2023-04-18,2023,1,STL,ARI,7.0,8.0,0
2023-04-18,2023,1,MIA,SF,4.0,2.0,1
2023-04-18,2023,1,NYY,LAA,2.0,5.0,0
2023-04-18,2023,1,CIN,TB,0.0,10.0,0
2023-04-18,2023,1,HOU,TOR,2.0,4.0,0
2023-04-18,2023,1,DET,CLE,4.0,3.0,1
2023-04-18,2023,1,LAD,NYM,5.0,0.0,1
2023-04-18,2023,1,CWS,PHI,4.0,7.0,0
2023-04-18,2023,1,KC,TEX,2.0,12.0,0
2023-04-18,2023,1,BOS,MIN,5.0,4.0,1
2023-04-18,2023,2,CWS,PHI,3.0,0.0,1
2023-04-18,2023,1,SEA,MIL,5.0,6.0,0
2023-04-18,2023,1,WSH,BAL,0.0,1.0,0
2023-04-18,2023,2,DET,CLE,1.0,0.0,1
2023-04-19,2023,1,ATH,CHC,2.0,12.0,0
2023-04-19,2023,1,NYY,LAA,3.0,2.0,1
2023-04-19,2023,1,COL,PIT,3.0,14.0,0
2023-04-19,2023,1,WSH,BAL,0.0,4.0,0
2023-04-19,2023,1,SEA,MIL,3.0,5.0,0
2023-04-19,2023,1,MIA,SF,2.0,5.0,0
2023-04-19,2023,1,LAD,NYM,3.0,5.0,0
2023-04-19,2023,1,HOU,TOR,8.0,1.0,1
2023-04-19,2023,1,SD,ATL,1.0,0.0,1
2023-04-19,2023,1,BOS,MIN,4.0,10.0,0
2023-04-19,2023,1,CWS,PHI,2.0,5.0,0
2023-04-19,2023,1,KC,TEX,3.0,12.0,0
2023-04-19,2023,1,CIN,TB,0.0,8.0,0
2023-04-19,2023,1,DET,CLE,2.0,3.0,0
2023-04-19,2023,1,STL,ARI,14.0,5.0,1
2023-04-20,2023,1,PIT,CIN,4.0,3.0,1
2023-04-20,2023,1,PHI,COL,0.0,5.0,0
2023-04-20,2023,1,CHC,LAD,2.0,6.0,0
2023-04-20,2023,1,NYY,LAA,9.0,3.0,1
2023-04-20,2023,1,SF,NYM,4.0,9.0,0
2023-04-20,2023,1,BOS,MIN,11.0,5.0,1
2023-04-20,2023,1,ARI,SD,5.0,7.0,0
2023-04-21,2023,1,NYY,TOR,1.0,6.0,0
2023-04-21,2023,1,BAL,DET,2.0,1.0,1
2023-04-21,2023,1,SF,NYM,0.0,7.0,0
2023-04-21,2023,1,TB,CWS,8.0,7.0,1
2023-04-21,2023,1,PHI,COL,4.0,3.0,1
2023-04-21,2023,1,MIL,BOS,3.0,5.0,0
2023-04-21,2023,1,LAA,KC,2.0,0.0,1
2023-04-21,2023,1,ARI,SD,9.0,0.0,1
2023-04-21,2023,1,PIT,CIN,4.0,2.0,1
2023-04-21,2023,1,MIN,WSH,2.0,3.0,0
2023-04-21,2023,1,TEX,ATH,4.0,5.0,0
2023-04-21,2023,1,ATL,HOU,4.0,6.0,0
2023-04-21,2023,1,CHC,LAD,13.0,0.0,1
2023-04-21,2023,1,SEA,STL,5.0,2.0,1
2023-04-22,2023,1,LAA,KC,8.0,11.0,0
2023-04-22,2023,1,ARI,SD,3.0,5.0,0
2023-04-22,2023,1,TEX,ATH,18.0,3.0,1
2023-04-22,2023,1,BAL,DET,5.0,1.0,1
2023-04-22,2023,1,SF,NYM,7.0,4.0,1
2023-04-22,2023,1,PHI,COL,4.0,3.0,1
2023-04-22,2023,1,PIT,CIN,2.0,1.0,1
2023-04-22,2023,1,NYY,TOR,3.0,2.0,1
2023-04-22,2023,1,SEA,STL,5.0,4.0,1
2023-04-22,2023,1,MIN,WSH,4.0,10.0,0
2023-04-22,2023,2,CLE,MIA,2.0,3.0,0
2023-04-22,2023,1,CHC,LAD,4.0,9.0,0
2023-04-22,2023,1,TB,CWS,4.0,3.0,1
2023-04-22,2023,1,MIL,BOS,5.0,4.0,1
2023-04-22,2023,1,ATL,HOU,3.0,6.0,0
2023-04-22,2023,1,CLE,MIA,1.0,6.0,0
2023-04-23,2023,1,CLE,MIA,7.0,4.0,1
2023-04-23,2023,1,PHI,COL,9.0,3.0,1
2023-04-23,2023,1,PIT,CIN,2.0,0.0,1
2023-04-23,2023,1,NYY,TOR,1.0,5.0,0
2023-04-23,2023,1,MIL,BOS,5.0,12.0,0
2023-04-23,2023,1,SEA,STL,3.0,7.0,0
2023-04-23,2023,1,TEX,ATH,5.0,2.0,1
2023-04-23,2023,1,CHC,LAD,3.0,7.0,0
2023-04-23,2023,1,LAA,KC,4.0,3.0,1
2023-04-23,2023,1,MIN,WSH,3.0,1.0,1
2023-04-23,2023,1,ATL,HOU,2.0,5.0,0
2023-04-23,2023,1,SF,NYM,5.0,4.0,1
2023-04-23,2023,1,ARI,SD,5.0,7.0,0
2023-04-23,2023,1,BAL,DET,2.0,1.0,1
2023-04-23,2023,1,TB,CWS,4.0,1.0,1
2023-04-24,2023,1,CIN,TEX,7.0,6.0,1
2023-04-24,2023,1,CLE,COL,0.0,6.0,0
2023-04-24,2023,1,TOR,CWS,5.0,2.0,1
2023-04-24,2023,1,SF,STL,4.0,0.0,1
2023-04-24,2023,1,LAA,ATH,10.0,11.0,0
2023-04-24,2023,1,MIL,DET,2.0,4.0,0
2023-04-24,2023,1,TB,HOU,8.0,3.0,1
2023-04-24,2023,1,BAL,BOS,5.0,4.0,1
2023-04-24,2023,1,ARI,KC,5.0,4.0,1
