date,away_team,home_team,total_line,over_odds,under_odds,source
2026-07-18,BAL,HOU,9,-101,-120,ESPN public scoreboard (DraftKings)
2026-07-18,CIN,COL,12.5,-108,-112,ESPN public scoreboard (DraftKings)
2026-07-18,CWS,TOR,9.5,-102,-119,ESPN public scoreboard (DraftKings)
2026-07-18,DET,LAA,8,-114,-105,ESPN public scoreboard (DraftKings)
2026-07-18,LAD,NYY,9,-101,-119,ESPN public scoreboard (DraftKings)
2026-07-18,MIA,MIL,8,-112,-108,ESPN public scoreboard (DraftKings)
2026-07-18,MIN,CHC,8.5,-110,-110,ESPN public scoreboard (DraftKings)
2026-07-18,NYM,PHI,8.5,-118,-102,ESPN public scoreboard (DraftKings)
2026-07-18,PIT,CLE,8.5,-104,-116,ESPN public scoreboard (DraftKings)
2026-07-18,SD,KC,11,-108,-112,ESPN public scoreboard (DraftKings)
2026-07-18,SF,SEA,7,-117,-103,ESPN public scoreboard (DraftKings)
2026-07-18,STL,ARI,8.5,-122,101,ESPN public scoreboard (DraftKings)
2026-07-18,TB,BOS,9.5,-115,-105,ESPN public scoreboard (DraftKings)
2026-07-18,TEX,ATL,9,-110,-110,ESPN public scoreboard (DraftKings)
2026-07-18,WSH,ATH,11.5,-101,-120,ESPN public scoreboard (DraftKings)
2026-07-21,ATH,ARI,9.5,-115,-105,ESPN public scoreboard (DraftKings)
2026-07-21,BAL,BOS,8.5,-105,-114,ESPN public scoreboard (DraftKings)
2026-07-21,CIN,SEA,7.5,-105,-115,ESPN public scoreboard (DraftKings)
2026-07-21,CWS,TEX,8.5,-117,-103,ESPN public scoreboard (DraftKings)
2026-07-21,DET,CHC,8,-112,-108,ESPN public scoreboard (DraftKings)
2026-07-21,LAD,PHI,9,-102,-118,ESPN public scoreboard (DraftKings)
2026-07-21,MIA,HOU,9,-117,-103,ESPN public scoreboard (DraftKings)
2026-07-21,MIN,CLE,8,-117,-103,ESPN public scoreboard (DraftKings)
2026-07-21,NYM,MIL,9,-102,-119,ESPN public scoreboard (DraftKings)
2026-07-21,PIT,NYY,9.5,-105,-114,ESPN public scoreboard (DraftKings)
2026-07-21,SD,ATL,9,-107,-113,ESPN public scoreboard (DraftKings)
2026-07-21,SF,KC,9.5,-114,-105,ESPN public scoreboard (DraftKings)
2026-07-21,STL,LAA,9,-119,-102,ESPN public scoreboard (DraftKings)
2026-07-21,TB,TOR,7.5,-110,-110,ESPN public scoreboard (DraftKings)
2026-07-21,WSH,COL,13,-108,-112,ESPN public scoreboard (DraftKings)
